GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700015002009,G36004700015012012,1.0,1.0
G36004700015002010,G36004700015012011,1.0,1.0
G36004700015002011,G36004700015012008,1.0,1.0
G36004700015002012,G36004700015012007,1.0,1.0
G36004700015002013,G36004700015012010,1.0,1.0
G36004700015002014,G36004700015012011,1.0,1.0
G36004700015003000,G36004700015021000,1.0,1.0
G36004700015003001,G36004700015021001,1.0,1.0
G36004700015003002,G36004700015021002,0.10365889128,0.10365889128
G36004700015003002,G36004700015021003,0.13274387761,0.13274387761
G36004700015003002,G36004700015021004,0.763597231109,0.763597231109
G36004700015003003,G36004700015021002,0.010386740331,0.010386740331
G36004700015003003,G36004700015021008,0.087366482505,0.087366482505
G36004700015003003,G36004700015021013,0.902246777164,0.902246777164
G36004700015003004,G36004700015021009,1.0,1.0
G36004700015003005,G36004700015021014,1.0,1.0
G36004700015003006,G36004700015021015,1.0,1.0
G36004700015003007,G36004700015021012,1.0,1.0
G36004700015003008,G36004700015021010,0.0,0.043310105691
G36004700015003008,G36004700015021011,0.985611510791,0.886140099357
G36004700015003008,G36004700015021016,0.014388489209,0.070549794952
G36004700015003009,G36004700015021018,1.0,1.0
G36004700015003010,G36004700015021006,0.321492644421,0.321492644421
G36004700015003010,G36004700015021007,0.678507355579,0.678507355579
G36004700015003011,G36004700015021000,0.029618631805,0.01906288972
G36004700015003011,G36004700015021005,0.970381368195,0.98093711028
G36004700015003012,G36004700015021017,1.0,1.0
G36004700018000001,G36004700018010001,1.0,1.0
G36004700018000002,G36004700018010001,1.0,1.0
G36004700018000003,G36004700018010002,0.043978400705,0.043978400705
G36004700018000003,G36004700018020001,0.203638137353,0.203638137353
G36004700018000003,G36004700018030001,0.752383461942,0.752383461942
G36004700018000004,G36004700018030002,1.0,1.0
G36004700018000005,G36004700018040001,1.0,1.0
G36004700018001000,G36004700018011000,0.09928762244,0.09928762244
G36004700018001000,G36004700018011001,0.552537845058,0.552537845058
G36004700018001000,G36004700018011002,0.348174532502,0.348174532502
G36004700018001001,G36004700018011005,1.0,1.0
G36004700018001002,G36004700018011005,1.0,1.0
G36004700018001003,G36004700018011007,0.378982843137,0.378982843137
G36004700018001003,G36004700018011008,0.621017156863,0.621017156863
G36004700018001004,G36004700018011004,0.682308614489,0.682308614489
G36004700018001004,G36004700018011007,0.317691385511,0.317691385511
G36004700018001005,G36004700018011002,0.0,0.004165500252
G36004700018001005,G36004700018011003,1.0,0.995834499748
G36004700018001006,G36004700018021000,1.0,1.0
G36004700018001007,G36004700018011003,1.0,1.0
G36004700018001008,G36004700018011004,1.0,1.0
G36004700018001009,G36004700018011007,0.0,0.595192307692
G36004700018001009,G36004700018011009,1.0,0.404807692308
G36004700018001010,G36004700018012002,0.164091912242,0.164091912242
G36004700018001010,G36004700018012003,0.139166558484,0.139166558484
G36004700018001010,G36004700018021008,0.332727508763,0.332727508763
G36004700018001010,G36004700018021009,0.364014020511,0.364014020511
G36004700018001011,G36004700018021008,0.438461538462,0.438461538462
G36004700018001011,G36004700018021009,0.561538461538,0.561538461538
G36004700018001012,G36004700018012001,0.18193920568,0.18193920568
G36004700018001012,G36004700018021007,0.81806079432,0.81806079432
G36004700018001013,G36004700018012000,1.0,1.0
G36004700018001014,G36004700018011010,1.0,1.0
