GEOID10,GEOID20,WEIGHT,PAREA
360470022001006,360470022001006,1.0,1.0
360470022001007,360470022001007,0.549026876738,0.549026876738
360470022001007,360470022001008,0.247265987025,0.247265987025
360470022001007,360470022001009,0.099351251158,0.099351251158
360470022001007,360470022001010,0.104355885079,0.104355885079
360470022002000,360470022002000,1.0,1.0
360470022002001,360470022002004,1.0,1.0
360470022002002,360470022002005,0.223030064846,0.223030064846
360470022002002,360470022002006,0.46472784437,0.46472784437
360470022002002,360470022002007,0.216938494793,0.216938494793
360470022002002,360470074004000,0.095303595991,0.095303595991
360470022002003,360470022002005,0.231245447924,0.231245447924
360470022002003,360470022002006,0.40804806992,0.40804806992
360470022002003,360470022002007,0.360706482156,0.360706482156
360470022002004,360470022002002,1.0,1.0
360470022002005,360470022002001,1.0,1.0
360470022002006,360470022002003,1.0,1.0
360470022003000,360470022003000,1.0,1.0
360470022003001,360470022003001,1.0,1.0
360470022003002,360470022003002,1.0,1.0
360470022003003,360470022003003,1.0,1.0
360470022003004,360470022003004,1.0,1.0
360470022003005,360470022004000,1.0,1.0
360470022003006,360470022003005,0.435789473684,0.435789473684
360470022003006,360470022003006,0.564210526316,0.564210526316
360470022003007,360470022003005,0.120540804691,0.120540804691
360470022003007,360470022003006,0.879459195309,0.879459195309
360470022003008,360470022004002,0.0,0.077024279392
360470022003008,360470022004003,1.0,0.922975720608
360470022003009,360470022004001,1.0,1.0
360470022003010,360470022004001,1.0,1.0
360470022003011,360470022004004,1.0,1.0
360470022003012,360470022003011,1.0,1.0
360470022003013,360470022003007,1.0,1.0
360470022003014,360470022003008,0.258594917788,0.258594917788
360470022003014,360470022003009,0.355754857997,0.355754857997
360470022003014,360470022003010,0.385650224215,0.385650224215
360470023001000,360470023001000,1.0,1.0
360470023001001,360470023001000,1.0,1.0
360470023001002,360470023001001,0.098859315589,0.098859315589
360470023001002,360470023001002,0.615598627469,0.615598627469
360470023001002,360470023001004,0.285542056941,0.285542056941
360470023001003,360470023001003,0.461538461538,0.461538461538
360470023001003,360470023001005,0.538461538462,0.538461538462
360470023002000,360470023002000,1.0,1.0
360470023003000,360470023003000,1.0,1.0
360470023003001,360470023003001,1.0,1.0
360470023003002,360470023003002,0.169179657552,0.169179657552
360470023003002,360470023003003,0.830820342448,0.830820342448
360470023003003,360470023003002,0.004506115442,0.004506115442
360470023003003,360470023003003,0.995493884558,0.995493884558
360470023003004,360470023003004,0.144893111639,0.144893111639
360470023003004,360470023003005,0.161765910394,0.161765910394
360470023003004,360470023003006,0.693340977967,0.693340977967
360470023003005,360470023003003,1.0,1.0
360470023003006,360470023003007,1.0,1.0
360470023003007,360470023003008,0.200981595092,0.200981595092
360470023003007,360470023003009,0.799018404908,0.799018404908
360470029011000,360470029011000,1.0,1.0
360470029011001,360470029011000,1.0,1.0
360470029011002,360470029011001,0.410131514856,0.410131514856
360470029011002,360470029011002,0.589868485144,0.589868485144
360470029011003,360470029011001,0.411178509532,0.411178509532
360470029011003,360470029011002,0.588821490468,0.588821490468
360470029011004,360470029011004,1.0,1.0
360470029011005,360470029011003,1.0,1.0
360470029011006,360470029011003,1.0,1.0
360470029011007,360470029011005,1.0,1.0
360470029011008,360470029011006,1.0,1.0
360470029011009,360470029011007,1.0,1.0
360470029012000,360470029012000,1.0,1.0
360470029012001,360470029012001,1.0,0.439584877687
360470029012001,360470029012002,0.0,0.560415122313
