"GEOID","pop_asian_2010","pop_asian_2020"
"360470270002",261,444
"360470271001",136,285
"360470271002",0,26
"360470272001",327,547
"360470272002",437,526
"360470272003",328,446
"360470273001",5,43
"360470273002",9,14
"360470273003",40,42
"360470274001",525,652
"360470274002",682,834
"360470275001",17,25
"360470275002",24,34
"360470275003",15,28
"360470275004",42,78
"360470276001",577,717
"360470276002",421,537
"360470276003",327,424
"360470277001",9,15
"360470277002",10,12
"360470277003",0,26
"360470277004",5,22
"360470278001",481,656
"360470278002",471,771
"360470279001",5,27
"360470279002",27,34
"360470279003",0,15
"360470279004",0,22
"360470280000",0,0
"360470280001",222,375
"360470280002",409,413
"360470281001",27,75
"360470281002",3,53
"360470281003",5,118
"360470282000",0,0
"360470282001",401,573
"360470282002",429,497
"360470282003",98,207
"360470283001",27,70
"360470283002",10,23
"360470283003",10,47
"360470284001",337,420
"360470284002",275,449
"360470284003",407,636
"360470285011",11,40
"360470285021",8,34
"360470286000",0,0
"360470286001",210,642
"360470286002",126,619
"360470286003",113,570
"360470286004",329,427
"360470286005",346,394
"360470287001",23,80
"360470287002",184,145
"360470287003",52,45
"360470288001",424,460
"360470288002",286,513
"360470288003",499,595
"360470289001",42,39
"360470289002",8,55
"360470289003",13,29
"360470289004",27,55
"360470290001",113,205
"360470290002",193,384
"360470290003",424,656
"360470291001",10,40
"360470291002",15,52
"360470291003",7,9
"360470292000",0,0
"360470292001",366,571
"360470292002",322,438
"360470292003",0,0
"360470293001",2,5
"360470293002",21,28
"360470293003",32,30
"360470293004",0,21
"360470294000",0,0
"360470294001",590,658
"360470295001",6,31
"360470295002",22,36
"360470295003",23,44
"360470295004",7,25
"360470296001",220,411
"360470296002",391,590
"360470296003",405,654
"360470296004",371,420
"360470297001",8,30
"360470297002",12,45
"360470297003",11,31
"360470298001",454,555
"360470298002",503,574
"360470298003",252,363
"360470299001",68,103
"360470299002",10,32
"360470300001",349.682384823848,420
"360470300002",303.317615176152,421
"360470300003",521.037362637363,510
"360470300004",429.855824175824,484
"360470300005",396.106813186813,505
"360470300006",0,0
"360470301001",18,19
"360470301002",0,6
"360470301003",1,34
"360470302001",565,750
"360470302002",714,857
"360470302003",810,919
"360470303001",20,30
"360470303002",1,34
"360470303003",27,35
"360470304000",0,0
"360470304001",771,925
"360470304002",544,744
"360470304003",398,496
"360470305001",60,92
"360470305002",120,205
"360470305003",145,193
"360470305004",37,102
"360470306001",691,1021
"360470307001",2,20
"360470307002",0,34
"360470307003",8,73
"360470308001",455.422944753134,678
"360470309001",16,57
"360470309002",1,60
"360470311001",35,91
"360470311002",3,29
"360470311003",11,35
"360470313001",10,34
"360470313002",27,34
"360470313003",8,24
"360470313004",13,29
"360470314010",0,0
"360470314011",247,437
"360470314012",52,70
"360470314013",195,222
"360470314014",0,0
"360470314015",247.462951234959,400
"360470314016",239.114104011907,363
"360470314020",0,0
"360470314021",0,0
"360470315001",21,81
"360470315002",22,68
"360470315003",22,72
"360470315004",24,86
"360470317011",45,114
"360470317012",24,73
"360470317013",16,57
"360470317021",16,50
"360470317022",16,18
"360470317023",19,116
"360470319001",17,33
"360470319002",19,31
"360470319003",11,26
"360470321001",16,30
"360470321002",20,43
"360470321003",11,34
"360470321004",13,78
"360470323001",13,55
"360470323002",21,25
"360470323003",0,16
"360470325001",26,44
"360470325002",27,45
"360470325003",4,28
"360470326001",147,224
"360470326002",114,165
"360470326003",111,147
"360470326004",31,82
"360470326005",383,456
"360470327001",11,16
"360470327002",7,45
"360470327003",32,82
"360470328001",302,343
"360470328002",429,385
"360470328003",131,182
"360470328004",146,179
"360470329001",10,16
"360470329002",11,15
"360470329003",7,40
"360470329004",15,28
"360470330000",0,0
"360470330001",32,70
"360470330002",79,91
"360470330003",44,141
"360470331001",4,3
"360470331002",7,4
"360470331003",0,4
"360470333001",1,17
"360470333002",6,13
"360470333003",4,9
"360470335001",5,16
"360470335002",5,46
"360470335003",0,5
"360470336000",0,0
"360470336001",56,55
"360470336002",13,71
"360470336003",10,36
"360470336004",16,34
"360470336005",104,133
"360470337011",2.20758122743682,17
"360470337012",3.72871521705845,38
"360470337021",2.39743444654437,6
"360470337022",4.66626910896036,11
"360470339001",11,23
"360470339002",7,33
"360470339003",62,96
"360470339004",14,32
"360470340001",21,59
"360470340002",3,15
"360470341001",2,17
"360470341002",7,24
"360470341003",3,15
"360470342001",92,159
"360470342002",9,83
"360470342003",76,243
"360470342004",18,44
"360470343001",2,10
"360470343002",10,16
"360470343003",27.3708381171,57
"360470343004",22.6291618829,50
"360470345001",8,31
"360470345002",0,49
"360470347001",6,23
"360470347002",4,20
"360470347003",4,15
"360470348001",329,423
"360470348002",94,95
"360470349011",10.9413298565841,8
"360470349012",5.59298812777733,18
"360470349021",1.61891697591099,34
"360470349022",0.846765039727582,1
"360470349023",3,32
"360470350001",17,22
"360470350002",10,10
"360470351011",18.6153279292557,79
"360470351021",21.7264699376818,20
"360470351022",3.65820213306247,16
"360470352000",0,0
"360470352001",35,95
"360470353011",4,31
"360470353012",2.97098515519568,10
"360470353021",1.22346666666667,14
"360470353022",4.80554817813765,49
"360470354001",9,11
"360470354002",10,37
"360470354003",9,13
"360470355001",12,22
"360470355002",5,3
"360470355003",3,15
"360470356011",8,1
"360470356021",4,20
"360470356022",2,27
"360470356023",18,93
"360470357011",10,66
"360470357021",0,1
"360470359001",7,14
"360470359002",4,15
"360470359003",16,12
"360470359004",3,6
"360470360011",10,31
"360470360012",3,55
"360470360013",10,115
"360470360021",40,199
"360470360022",26,154
"360470361001",2,5
"360470361002",19.0008197908095,26
"360470361003",2,12
"360470362001",422,467
"360470362002",277,288
"360470362003",190,204
"360470363001",3,29
"360470363002",5,10
"360470363003",2,12
"360470363004",1,4
"360470364001",434,601
"360470364002",171,232
"360470365011",1,18
"360470365012",6,38
"360470365021",13,23
"360470366001",512,693
"360470366002",120,150
"360470366003",670,648
"360470367001",0.281879194630872,1
"360470367002",8.77852348993289,26
"360470367003",4.93959731543624,20
"360470367004",0,2
"360470369001",11,40
"360470369002",13,51
"360470369003",2,28
"360470369004",18,46
"360470370001",155,214
"360470370002",84,118
"360470370003",370,566
"360470370004",195,191
"360470371001",0,22
"360470371002",1,54
"360470371003",5,25
"360470371004",3,11
"360470371005",9,4
"360470373001",7,46
"360470373002",6,15
"360470373003",0,37
"360470373004",5,10
"360470374011",89.3725490196078,141
"360470374012",66.8680641183724,118
"360470374013",43.1319358816276,63
"360470374014",82.6274509803922,144
"360470374015",143,322
"360470374021",203,412
"360470374022",71,242
"360470374023",83,300
"360470374024",146,193
"360470375001",33,37
"360470375002",65,150
"360470375003",25,40
"360470377001",8,19
"360470377002",8,15
"360470377003",6,30
"360470377004",17,18
"360470379001",4,29
"360470379002",3,21
"360470379003",7,27
"360470381001",5,28
"360470381002",1,32
"360470381003",3,25
"360470381004",18,52
"360470382001",668,823
"360470382002",402,502
"360470382003",294,433
"360470383001",1,46
"360470383002",8,51
"360470383003",7,19
"360470383004",13,21
"360470385001",30,51
"360470385002",10,10
"360470385003",12,42
"360470385004",9,47
"360470386001",389,604
"360470386002",650,893
"360470387001",13,118
"360470387002",18,113
"360470387003",14,55
"360470387004",18,64
"360470388001",18,236
"360470388002",54,97
"360470388003",99,128
"360470388004",137,138
"360470389001",99,162
"360470389002",19,42
"360470389003",96,89
"360470390001",109,138
"360470390002",15,21
"360470391001",60,340
"360470391002",67,175
"360470392001",106,84
"360470392002",102,177
"360470393001",17,80
"360470393002",30,107
"360470393003",65,90
"360470394001",46,123
"360470394002",26,6
"360470394003",7,15
"360470395001",8,59
"360470395002",41,153
"360470395003",13,93
"360470396001",6,12
"360470396002",26,100
"360470397001",19,63
"360470397002",14,62
"360470397003",33,54
"360470398001",320,620
"360470398002",494,662
"360470399001",23,46
"360470399002",6,62
"360470399003",69,75
"360470400001",198,226
"360470400002",153,329
"360470400003",591,749
"360470401001",33,30
"360470401002",16,62
"360470401003",14,85
"360470402001",0,0
"360470402002",499.90099009901,645
"360470402003",277.925339366516,384
"360470402004",398.173670534474,685
"360470403001",25,71
"360470403002",34,53
"360470403003",1,41
"360470404001",428,680
"360470404002",608,822
"360470405001",10,68
"360470405002",5,29
"360470406001",323,588
"360470406002",461,685
"360470406003",545,740
"360470407001",0,0
"360470408001",329,507
"360470408002",366,561
"360470408003",898,1078
"360470409001",10,56
"360470409002",21,43
"360470409003",5,36
"360470410001",109,348
"360470410002",202,356
"360470411001",10,73
"360470411002",20,37
"360470411003",5,26
"360470412001",541,780
"360470412002",397,574
"360470413001",10,42
"360470413002",6,20
"360470413003",5,77
"360470414011",61,113
"360470414012",12,34
"360470414021",20,99
"360470414022",1,38
"360470415001",16,37
"360470415002",34,73
"360470415003",23,44
"360470416001",29,31
"360470416002",35,69
"360470417001",5,20
"360470417002",8,9
"360470417003",78,107
"360470417004",18,25
"360470418001",124,201
"360470418002",21,60
"360470419001",18,61
"360470419002",7,40
"360470419003",2,57
"360470420001",45,18
"360470420002",30,27
"360470421001",5,98
"360470421002",14,57
"360470421003",62,80
"360470421004",104,117
"360470422001",31,172
"360470422002",19,105
"360470422003",117,143
"360470423001",61,105
"360470423002",74,99
"360470423003",39,55
"360470424001",361,435
"360470424002",520,812
"360470424003",272,371
"360470425001",29,37
"360470425002",19,39
"360470425003",23,46
"360470426001",461,676
"360470426002",525,718
"360470426003",463,481
"360470427001",72,83
"360470427002",65,60
"360470427003",19,59
"360470427004",89,76
"360470428001",392,568
"360470428002",305,421
"360470428003",186,366
"360470429001",24,61
"360470429002",41,77
"360470429003",123,164
"360470429004",59,62
"360470430001",450,637
"360470430002",193,303
"360470430003",379,552
"360470431001",43,79
"360470431002",83,126
"360470431003",99,35
"360470431004",37,60
"360470432001",212,521
"360470432002",513,693
"360470432003",685,692
"360470433001",76,66
"360470433002",86,81
"360470433003",64,101
"360470434001",363,678
"360470434002",319,378
"360470434003",217,477
"360470435001",38,98
"360470435002",17,95
"360470435003",41,71
"360470436001",446,753
"360470436002",325,382
"360470436003",343,386
"360470437001",50,63
"360470437002",3,53
"360470437003",21,45
"360470437004",23,36
"360470438001",40,130
"360470438002",163,337
"360470439001",21,68
"360470439002",145,174
"360470439003",91,100
"360470440001",8,34
"360470440002",15,30
"360470440003",154,202
"360470441001",137,162
"360470441002",190,160
"360470441003",239,198
"360470442001",40,38
"360470442002",19,14
"360470443001",78,96
"360470443002",140,161
"360470443003",123,98
"360470443004",247,158
"360470444001",29,62
"360470444002",24,64
"360470444003",83,126
"360470445001",422,372
"360470445002",191,147
"360470445003",118,111
"360470446001",244.753668763103,331
"360470446002",346.246331236897,397
"360470447001",64,68
"360470447002",26,62
"360470448001",109,144
"360470448002",25,65
"360470449011",18,36
"360470449012",24,41
"360470449013",0.176470588235294,0
"360470449014",0.764705882352941,1
"360470449021",0,0
"360470449022",0,0
"360470449023",0.0588235294117647,0
"360470450001",22,13
"360470452001",7,10
"360470452002",38,69
"360470453001",46,31
"360470453002",43,45
"360470454001",116,137
"360470454002",0,12
"360470456001",82,302
"360470456002",298,436
"360470458001",8,40
"360470458002",0,9
"360470460001",333,410
"360470460002",687,883
"360470460003",140,121
"360470462011",243.677859454863,370
"360470462012",87.3221405451372,133
"360470462021",7,123
"360470462022",46,12
"360470464001",41,87
"360470464002",30,21
"360470468001",41,52
"360470470001",10,5
"360470470002",5,63
"360470472001",0,5
"360470472002",0,5
"360470472003",0,10
"360470474001",1,136
"360470474002",0,2
"360470476001",41,60
"360470476002",15,12
"360470476003",8,41
"360470477001",75,174
"360470477002",190,195
"360470478001",162,197
"360470478002",31,177
"360470478003",110,110
"360470480001",261,358
"360470480002",218,273
"360470481001",81,67
"360470481002",108,118
"360470481003",138,135
"360470482001",357,603
"360470482002",363,480
"360470482003",472,732
"360470482004",96.6929133858268,160
"360470482005",103.307086614173,165
"360470484001",224,523
"360470484002",142.338533477555,261
"360470484003",123.661466522445,318
"360470485001",47,82
"360470485002",69,84
"360470486001",539,653
"360470486002",345,434
