"GEOID","pop_2010_asian","pop_2010_total","pop_2020_asian","pop_2020_total"
"360470222002",62,1297,27,1293
"360470222003",72,1893,103,2297
"360470224001",59,1184,22,1247
"360470224002",147,1443,177,1571
"360470224003",234,1291,284,1486
"360470224004",161,1568,116,1813
"360470226001",183,1262,194,1373
"360470226002",307,1254,244,1291
"360470227001",48,903,74,920
"360470227002",73,852,101,1094
"360470227003",12.4702760084926,691,65,926
"360470227004",13.5297239915074,1008,104,1575
"360470228001",733,1385,756,1403
"360470228002",80,1255,106,1515
"360470228003",101,666,72,720
"360470229001",15,586,70,800
"360470229002",27,935,41,940
"360470229003",18,655,56,840
"360470229004",63,1219,97,1343
"360470230001",144,1744,241,1732
"360470230002",21,1058,39,1058
"360470230003",86,1713,72,1652
"360470231001",64,1097,75,1234
"360470231002",48,1253,158,1823
"360470231003",27,675,44,775
"360470232001",0,1181,11,1425
"360470232002",17,1342,43,1644
"360470232003",61,1175,85,1181
"360470232004",56,900,46,954
"360470232005",248,1101,308,1178
"360470233001",57,863,163,1333
"360470233002",28.174525047595,2745.45020813274,111,2588
"360470233003",26.825474952405,1452.54979186726,148,2040
"360470234001",0,1612,8,1859
"360470234002",7,1676,45,1977
"360470234003",3,1771,24,2087
"360470235001",158,2145,228,3091
"360470235002",23,1783,136,2830
"360470236001",12,1324,5,1652
"360470236002",220,1809,211,1975
"360470236003",2,1431,18,1518
"360470236004",7,1036,45,1403
"360470238001",0,1428,11,1612
"360470238002",20,1863,74,2189
"360470238003",4,1299,29,1613
"360470240001",24,1234,87,1401
"360470240002",24,1709,23,1707
"360470240003",9,1750,26,2057
"360470241001",50,1320,126,1948
"360470241002",22,909,132,1227
"360470242001",82,1306,51,1473
"360470242002",78,1678,65,1816
"360470243001",26,1229,94,1554
"360470243002",36,1322,44,1404
"360470243003",42,1235,84,1389
"360470244001",183,871,219,948
"360470244002",59,1178,59,1342
"360470244003",123,1189,152,1361
"360470245001",11,963,68,975
"360470245002",126,1547,148,1638
"360470245003",16,658,66,789
"360470245004",86,778,147,855
"360470246001",179,1024,257,1109
"360470246002",469,1105,560,1190
"360470246003",225,1127,225,1137
"360470247001",60,1314,98,1596
"360470247002",128,1002,153,1224
"360470248001",613,1292,509,1316
"360470248002",439,1406,481,1331
"360470249001",5,979,66,1117
