temp,temp_past,tree,income,builtfar
86.845,79.325,0.001,130022,0.53
87.62,82.904,0,69967,0.59
89.264,82.417,,95086,
88.426,82.27,0,48698,0.97
87.944,81.226,0.009,70893,0.64
87.651,84.756,0,70893,1.04
84.53,81.091,0.008,48214,1.045
77.403,73.983,0.095,57896,0.46
83.021,78.227,0.044,71719,0.31
83.037,76.433,0.05,71719,0.28
84.335,80.316,0.031,44817,0.97
83.44,77.68,0.007,136094,0.445
83.674,79.988,,44817,
83.471,78.44,0.028,109107,0.515
88.356,80.33,0,67115,0.57
86.125,79.733,0.015,74205,0.65
84.152,79.066,0.032,76693,0.4
88.348,80.497,0,67115,0.515
88.31,79.538,0,54286,0.61
86.788,79.917,0,74271,1.17
81.902,76.828,,60567,
83.34,79.896,0.079,109464,0.56
87.353,82.649,0.004,44342,1.07
83.268,81.364,0.018,72545,0.74
83.397,78.025,0.015,82218,0.76
87.048,79.903,0.022,71719,1.28
86.771,80.818,0,81797,0.81
85.134,80.908,,71131,
87.005,83.267,0.062,89554,0.7
86.532,78.155,0.06,78875,0.64
83.532,74.363,0.106,112273,0.37
83.946,75.273,0.249,112273,0.29
86.636,80.418,0,65599,1.16
86.71,79.672,0,78393,0.83
87.47,76.674,0.006,110446,0.34
86.229,76.325,0.017,93438,
86.685,77.577,0.013,93438,0.3
89.883,82.719,0.016,92578,0.39
87.308,80.027,0.007,91806,0.32
84.723,78.454,0.018,80250,0.44
85.331,78.109,0.199,67411,0.34
85.66,78.974,0.011,53720,0.43
85.489,78.692,0,53720,0.56
85.26,80.192,0.008,52381,0.3
86.187,81.031,0,68685,1.075
81.887,74.565,0.021,104671,0.5
83.567,79.445,0,85203,0.25
82.956,79.512,0.053,140917,0.25
80.304,75.748,,67448,
85.721,79.153,0.002,54219,0.71
87.049,81.042,0,53523,0.79
86.458,79.924,0.018,53523,0.7
86.766,78.901,0.033,71328,0.61
87.261,79.511,0.001,130022,0.54
88.046,79.649,0,59327,0.65
88.11,79.222,0,80964,0.53
